,정류장_ID,정류장_명칭,정류장_유형,정류장_번호,위도,경도,geometry,sgg_oid,jibun,pnu,index_right,ADM_DR_CD,ADM_DR_NM
69098,104900020,광장중학교앞,마을버스,5578,127.102402,37.54679,POINT (127.102402 37.54679),106390,248-22대,1121510400102480022,75,1105063,광장동
69100,104900018,장신대앞,마을버스,5581,127.105227,37.547539,POINT (127.105227 37.547539),105388,250 대,1121510400102500000,75,1105063,광장동
69101,104900017,워커힐아파트,마을버스,5587,127.107588,37.550004,POINT (127.107588 37.550004),90245,145-8대,1121510400101450008,75,1105063,광장동
69103,104900015,워커힐아파트입구,마을버스,5591,127.106475,37.54809,POINT (127.106475 37.54809),90752,331-1대,1121510400103310001,75,1105063,광장동
69105,104900013,장신대앞,마을버스,5595,127.105132,37.54763,POINT (127.105132 37.54763),90873,287도,1121510400102870000,75,1105063,광장동
69106,104900012,광장중학교앞,마을버스,5597,127.102489,37.546948,POINT (127.102489 37.546948),90983,395-2수,1121510400103950002,75,1105063,광장동
69107,104900011,한전삼거리,마을버스,5600,127.097966,37.545443,POINT (127.097966 37.545443),91134,401-21수,1121510400104010021,75,1105063,광장동
69110,104900008,금호아파트앞,마을버스,5673,127.093844,37.543284,POINT (127.093844 37.543284),91304,533-2도,1121510400105330002,75,1105063,광장동
69247,104000072,올림픽대교북단사거리,일반차로,5165,127.093688,37.543389,POINT (127.093688 37.543389),91304,533-2도,1121510400105330002,75,1105063,광장동
69119,104000306,광나루우편취급국,일반차로,5299,127.106392,37.547557,POINT (127.106392 37.547557),106526,328-2 도,1121510400103280002,75,1105063,광장동
69148,104000271,워커힐아파트.광장동,일반차로,5172,127.106715,37.547896,POINT (127.106715 37.547896),106526,328-2 도,1121510400103280002,75,1105063,광장동
69120,104000305,광진구보훈회관,일반차로,5298,127.107723,37.547735,POINT (127.107723 37.547735),137188,325-2 도,1121510400103250002,75,1105063,광장동
69127,104000298,광나루역,중앙차로,5011,127.103282,37.545508,POINT (127.103282 37.545508),91137,238도,1121510400102380000,75,1105063,광장동
69241,104000078,광나루역,일반차로,5171,127.103229,37.545614,POINT (127.103229 37.545614),91137,238도,1121510400102380000,75,1105063,광장동
69128,104000297,광나루역,중앙차로,5012,127.103268,37.545177,POINT (127.103268 37.545177),91170,237-12도,1121510400102370012,75,1105063,광장동
69138,104000282,워커힐호텔,일반차로,5753,127.110386,37.554104,POINT (127.110386 37.554104),90153,5-36임,1121510400100050036,75,1105063,광장동
69139,104000281,워커힐호텔비스타워커힐,일반차로,5745,127.110266,37.554242,POINT (127.110266 37.554242),90153,5-36임,1121510400100050036,75,1105063,광장동
69239,104000081,워커힐입구,일반차로,5174,127.108723,37.550613,POINT (127.108723 37.550613),232241,145-2 도,1121510400101450002,75,1105063,광장동
69240,104000080,워커힐아파트앞,일반차로,5173,127.109026,37.550496,POINT (127.109026 37.550496),106138,121 대,1121510400101210000,75,1105063,광장동
69242,104000077,광나루역,일반차로,5170,127.103305,37.545094,POINT (127.103305 37.545094),91199,580대,1121510400105800000,75,1105063,광장동
69243,104000076,광나루역.극동아파트,일반차로,5169,127.103086,37.543917,POINT (127.103086 37.543917),224241,236 도,1121510400102360000,75,1105063,광장동
69246,104000073,광장동현대아파트앞,일반차로,5166,127.097463,37.541797,POINT (127.097463 37.541797),224241,236 도,1121510400102360000,75,1105063,광장동
69244,104000075,광나루역.극동아파트,일반차로,5168,127.103069,37.543473,POINT (127.103069 37.543473),91255,218-1대,1121510400102180001,75,1105063,광장동
69245,104000074,광장동현대아파트앞,일반차로,5167,127.099075,37.542013,POINT (127.099075 37.542013),91357,565대,1121510400105650000,75,1105063,광장동
3300,277101942,동서울터미널(경유),가상정류장,78080,127.093084,37.536653,POINT (127.093084 37.536653),89766,589-10대,1121510300105890010,74,1105062,구의3동
69142,104000277,강변역,일반차로,5612,127.093311,37.536405,POINT (127.093311 37.536405),89766,589-10대,1121510300105890010,74,1105062,구의3동
3333,277101909,강변역출발(경유),일반차로,78074,127.093642,37.537661,POINT (127.093642 37.537661),89542,658대,1121510300106580000,74,1105062,구의3동
3522,277101720,구의3동주민센터(경유),일반차로,78424,127.091878,37.537918,POINT (127.091878 37.537918),89552,587-33도,1121510300105870033,74,1105062,구의3동
3604,277101638,올림픽대교북단(경유),일반차로,78400,127.099837,37.537769,POINT (127.099837 37.537769),89622,585-2천,1121510300105850002,74,1105062,구의3동
68987,104900133,구의3동주민센터,마을버스,5757,127.091538,37.538166,POINT (127.091538 37.538166),89486,587-15대,1121510300105870015,74,1105062,구의3동
68991,104900129,강변역.테크노마트앞,마을버스,5999,127.094602,37.536276,POINT (127.094602 37.536276),89609,546-3도,1121510300105460003,74,1105062,구의3동
69015,104900104,테크노마트C,마을버스,5547,127.094247,37.536627,POINT (127.094247 37.536627),89609,546-3도,1121510300105460003,74,1105062,구의3동
69080,104900038,강변역.테크노마트앞,마을버스,5543,127.094859,37.536393,POINT (127.094859 37.536393),89609,546-3도,1121510300105460003,74,1105062,구의3동
69141,104000279,테크노마트앞.강변역,일반차로,5162,127.094195,37.536672,POINT (127.094195 37.536672),89609,546-3도,1121510300105460003,74,1105062,구의3동
69250,104000069,테크노마트앞.강변역,일반차로,5267,127.094065,37.53683,POINT (127.094065 37.53683),89609,546-3도,1121510300105460003,74,1105062,구의3동
