,x_index,y_index,격자 당 경로당 수,행정동,격자 당 어린이 보육시설 수,유아비율(%),노인비율(%),kmeans_label,중심점,geometry,x,y
0,0,22,0,자양4동,0,2.8394510766484435,20.91375655472498,0,POINT (960888.0000000005 1948207.9999999998),"POLYGON ((960788.0000000006 1948307.9999999998, 960988.0000000003 1948308.0000000005, 960988.0000000002 1948108, 960788.0000000003 1948108, 960788.0000000006 1948307.9999999998))",960888.0000000003,1948208.0
1,0,23,0,자양4동,0,2.8394510766484435,20.91375655472498,0,POINT (960887.9999999998 1948008.0000000002),"POLYGON ((960788.0000000003 1948108, 960988.0000000002 1948108, 960987.9999999998 1947907.9999999995, 960787.9999999991 1947908.000000001, 960788.0000000003 1948108))",960887.9999999998,1948008.0
2,0,24,0,자양4동,0,2.8394510766484435,20.91375655472498,0,POINT (960887.9999999995 1947808),"POLYGON ((960787.9999999991 1947908.000000001, 960987.9999999998 1947907.9999999995, 960987.9999999999 1947707.9999999998, 960788.0000000001 1947707.9999999998, 960787.9999999991 1947908.000000001))",960887.9999999997,1947808.0
3,0,25,0,자양4동,0,2.8394510766484435,20.91375655472498,0,POINT (960887.9999999999 1947607.9999999998),"POLYGON ((960788.0000000001 1947707.9999999998, 960987.9999999999 1947707.9999999998, 960987.9999999995 1947508.0000000007, 960788 1947508, 960788.0000000001 1947707.9999999998))",960888.0,1947608.0
4,1,20,0,자양4동,0,2.8394510766484435,20.91375655472498,0,POINT (961087.9999999992 1948608.0000000002),"POLYGON ((960987.9999999992 1948708, 961187.9999999998 1948708, 961187.9999999995 1948508.0000000002, 960987.9999999988 1948508.0000000002, 960987.9999999992 1948708))",961087.9999999992,1948608.0
5,1,21,0,자양4동,0,2.8394510766484435,20.91375655472498,0,POINT (961087.9999999997 1948408),"POLYGON ((960987.9999999988 1948508.0000000002, 961187.9999999995 1948508.0000000002, 961187.9999999994 1948307.9999999998, 960988.0000000003 1948308.0000000005, 960987.9999999988 1948508.0000000002))",961087.9999999997,1948408.0
6,1,22,0,자양4동,0,2.8394510766484435,20.91375655472498,0,POINT (961088.0000000001 1948208),"POLYGON ((960988.0000000003 1948308.0000000005, 961187.9999999994 1948307.9999999998, 961188.0000000006 1948107.9999999993, 960988.0000000002 1948108, 960988.0000000003 1948308.0000000005))",961088.0,1948208.0
7,1,23,0,자양4동,0,2.8394510766484435,20.91375655472498,0,POINT (961088 1948007.9999999998),"POLYGON ((960988.0000000002 1948108, 961188.0000000006 1948107.9999999993, 961187.9999999997 1947908.0000000002, 960987.9999999998 1947907.9999999995, 960988.0000000002 1948108))",961088.0,1948008.0
8,1,24,0,자양4동,0,2.8394510766484435,20.91375655472498,0,POINT (961087.9999999998 1947808),"POLYGON ((960987.9999999998 1947907.9999999995, 961187.9999999997 1947908.0000000002, 961188 1947707.9999999998, 960987.9999999999 1947707.9999999998, 960987.9999999998 1947907.9999999995))",961087.9999999998,1947808.0
9,1,25,0,자양4동,0,2.8394510766484435,20.91375655472498,0,POINT (961088.0000000001 1947608.0000000005),"POLYGON ((960987.9999999999 1947707.9999999998, 961188 1947707.9999999998, 961188.0000000007 1947508, 960987.9999999995 1947508.0000000007, 960987.9999999999 1947707.9999999998))",961088.0,1947608.0000000005
10,2,18,0,자양4동,0,2.8394510766484435,20.91375655472498,0,POINT (961288.0000000002 1949008.0000000005),"POLYGON ((961188.0000000005 1949108.000000001, 961388.000000001 1949108.0000000002, 961387.9999999999 1948907.9999999998, 961187.999999999 1948908.0000000005, 961188.0000000005 1949108.000000001))",961288.0000000002,1949008.0000000005
11,2,19,0,자양4동,0,2.8394510766484435,20.91375655472498,0,POINT (961287.9999999994 1948808),"POLYGON ((961187.999999999 1948908.0000000005, 961387.9999999999 1948907.9999999998, 961387.9999999992 1948707.9999999993, 961187.9999999998 1948708, 961187.999999999 1948908.0000000005))",961287.9999999994,1948808.0
12,2,20,1,자양4동,2,2.8394510766484435,20.91375655472498,2,POINT (961287.9999999997 1948608),"POLYGON ((961187.9999999998 1948708, 961387.9999999992 1948707.9999999993, 961388.0000000002 1948508.000000001, 961187.9999999995 1948508.0000000002, 961187.9999999998 1948708))",961287.9999999997,1948608.0
13,2,21,0,자양4동,1,2.8394510766484435,20.91375655472498,0,POINT (961287.9999999997 1948408.0000000005),"POLYGON ((961187.9999999995 1948508.0000000002, 961388.0000000002 1948508.000000001, 961387.9999999995 1948308.0000000005, 961187.9999999994 1948307.9999999998, 961187.9999999995 1948508.0000000002))",961287.9999999997,1948408.0000000005
14,2,22,0,자양4동,0,2.8394510766484435,20.91375655472498,0,POINT (961288.0000000002 1948207.9999999995),"POLYGON ((961187.9999999994 1948307.9999999998, 961387.9999999995 1948308.0000000005, 961388.0000000008 1948108, 961188.0000000006 1948107.9999999993, 961187.9999999994 1948307.9999999998))",961288.0000000002,1948207.9999999995
15,2,23,0,자양4동,0,2.8394510766484435,20.91375655472498,0,POINT (961288.0000000003 1948007.9999999998),"POLYGON ((961188.0000000006 1948107.9999999993, 961388.0000000008 1948108, 961388.0000000005 1947908.000000001, 961187.9999999997 1947908.0000000002, 961188.0000000006 1948107.9999999993))",961288.0000000003,1948008.0
16,2,24,0,자양4동,0,2.8394510766484435,20.91375655472498,0,POINT (961288 1947808.0000000005),"POLYGON ((961187.9999999997 1947908.0000000002, 961388.0000000005 1947908.000000001, 961388 1947708.0000000012, 961188 1947707.9999999998, 961187.9999999997 1947908.0000000002))",961288.0,1947808.0000000005
