,사용년월,표준버스정류장ID,버스정류장ARS번호,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,행정동
0,1,101000252,5118,4760.0,0.0,0.0,0.0,13112.814814814814,33010.55172413793,58424.89655172414,106569.93103448275,164833.10344827588,130987.34482758619,124411.58620689654,107551.17241379312,105323.17241379312,109717.03448275862,103863.44827586207,96367.89655172413,90607.6551724138,99783.44827586206,93399.8275862069,70849.3448275862,50635.551724137935,51476.0,24537.034482758623,11954.8,중곡2동
1,1,104000001,5001,11044.137931034482,7743.333333333333,1307.25,2169.925925925926,13645.115384615385,33338.48275862069,49339.86206896552,96397.20689655172,199656.0,115510.20689655172,97937.37931034483,92762.06896551723,94166.06896551723,98978.41379310343,89213.93103448277,82420.68965517242,83999.3103448276,105501.8275862069,124680.8275862069,95319.0,75719.10344827586,98488.62068965517,56478.1724137931,25929.0,중곡1동
2,1,104000002,5002,21581.241379310344,4239.0,2080.5,891.1538461538461,3113.5185185185182,60585.51724137931,62870.62068965517,89238.41379310345,168346.55172413794,113550.55172413793,99588.27586206897,93195.58620689655,109429.51724137932,120432.55172413793,128349.10344827586,144201.10344827586,147345.6551724138,166013.79310344826,217965.5172413793,143985.3103448276,96587.06896551725,123431.1379310345,71198.68965517242,32979.7,군자동
3,1,104000003,5003,20706.0,11400.0,6993.6,6976.16,26445.222222222223,61715.37931034482,56285.68965517241,98816.82758620688,220795.41379310348,152970.724137931,138435.31034482757,131192.0,139230.10344827588,148754.51724137933,138567.3103448276,137992.8620689655,157046.0,177901.58620689652,219170.1724137931,142810.44827586206,109457.68965517242,151096.0,93915.24137931035,39717.6,중곡2동
4,1,104000004,5004,33087.51724137931,6406.285714285714,5244.0,2565.3999999999996,21328.5,69406.89655172413,73216.0,101111.58620689655,241635.5172413793,143543.1724137931,158165.3793103448,123417.44827586209,135930.41379310345,155023.4482758621,157880.1724137931,166100.6896551724,202540.1379310345,220336.34482758623,262057.75862068965,209031.7931034483,153832.9655172414,203403.51724137933,111223.27586206897,49842.0,능동
5,1,104000005,5005,10268.0,3420.0,2594.4,1566.6799999999998,23841.48148148148,62159.62068965517,64281.41379310345,120243.58620689655,234740.00000000003,175392.31034482757,116733.79310344826,101020.75862068967,113382.10344827587,118216.24137931035,107975.44827586207,106536.8620689655,120664.8275862069,120150.20689655171,170953.44827586206,96285.03448275862,70141.86206896552,94248.0,59019.6551724138,26313.73333333333,중곡2동
6,1,104000006,5006,14021.379310344828,5044.0,2193.0,694.4,24847.2,47995.482758620696,59991.206896551725,109371.72413793104,215443.58620689655,148834.8620689655,119394.75862068967,128809.44827586206,138957.5517241379,144081.0344827586,146568.0,137856.41379310345,161956.8275862069,167322.2068965517,202174.37931034484,149712.55172413794,116564.20689655172,140079.44827586206,97801.62068965517,40753.26666666666,구의2동
7,1,104000007,5007,26518.896551724138,3974.8571428571427,1863.0,1397.0,23970.23076923077,93294.8275862069,144416.0,199189.24137931035,382986.2068965517,234737.7931034483,262202.4827586207,205718.06896551728,230041.10344827586,254224.55172413794,234631.6551724138,239330.4827586207,285778.0689655172,295572.37931034487,355549.5172413793,270131.8965517242,189842.89655172414,214350.89655172414,133869.8275862069,58548.96666666667,능동
8,1,104000008,5101,10286.206896551725,8854.333333333332,1527.75,2169.925925925926,1233.3461538461538,1564.1379310344828,5505.241379310345,6335.413793103448,16464.0,7330.275862068966,7114.0344827586205,7048.275862068966,8083.862068965517,9147.068965517241,10315.655172413793,13035.48275862069,12806.206896551725,16799.51724137931,22248.62068965517,19162.62068965517,16915.241379310344,18998.137931034482,15102.379310344828,8944.0,중곡1동
9,1,104000009,5102,866.2068965517242,2053.6666666666665,409.5,447.4074074074074,3621.730769230769,16356.41379310345,6841.241379310345,10033.034482758621,12816.0,7960.586206896552,5630.896551724138,5431.0344827586205,6554.482758620689,6818.724137931034,6194.103448275862,5856.206896551725,5473.103448275862,5821.827586206897,9652.137931034482,5714.413793103448,4793.793103448276,3804.0,2986.103448275862,1978.0,중곡1동
10,1,104000010,5103,0.0,0.0,0.0,0.0,2114.3076923076924,5362.758620689655,7578.344827586207,19948.310344827587,27432.0,17438.58620689655,11513.172413793103,9751.724137931034,10948.413793103447,12259.448275862069,10857.344827586207,10064.0,9727.586206896553,11128.068965517241,9962.068965517241,7647.862068965517,6734.137931034483,6340.0,3372.793103448276,1225.5,중곡1동
