,Unnamed: 0,정류장_ID,시간합,역명,행정동,정류장_명칭,정류장_유형,정류장_번호,위도,경도,geometry,sgg_oid,jibun,pnu,index_right,ADM_DR_CD,ADM_DR_NM
31,155,104000297,1666646.9105204295,광나루역,광장동,광나루역,중앙차로,5012,127.103268,37.545177,POINT (127.103268 37.545177),91170,237-12도,1121510400102370012,75,1105063,광장동
32,54,104000056,1645165.6301581552,구의역2번출구,구의1동,구의역2번출구,일반차로,5149,127.087977,37.537703,POINT (127.087977 37.537703),88947,245-24도,1121510300102450024,72,1105060,구의1동
33,63,104000069,1563578.763718999,테크노마트앞.강변역,구의3동,테크노마트앞.강변역,일반차로,5267,127.094065,37.53683,POINT (127.094065 37.53683),89609,546-3도,1121510300105460003,74,1105062,구의3동
34,51,104000053,1518507.256112161,광진경찰서,구의1동,광진경찰서,일반차로,5146,127.084647,37.543087,POINT (127.084647 37.543087),87266,236-46대,1121510300102360046,72,1105060,구의1동
35,115,104000141,1495031.3401568113,어린이대공원역.화양천주교회,화양동,어린이대공원역.화양천주교회,일반차로,5234,127.073588,37.545904,POINT (127.073588 37.545904),99867,39-5도,1121510700100390005,65,1105053,화양동
36,150,104000291,1440542.405787673,동서울우편집중국앞,자양2동,동서울우편집중국앞,일반차로,5192,127.084408,37.535282,POINT (127.084408 37.535282),93237,680-68대,1121510500106800068,77,1105065,자양2동
37,151,104000293,1429001.2056757745,화양사거리,군자동,화양사거리,일반차로,5249,127.068684,37.548329,POINT (127.068684 37.548329),110561,355-9 도,1121510900103550009,66,1105054,군자동
38,109,104000134,1426022.4646543283,어린이대공원역.화양천주교회,화양동,어린이대공원역.화양천주교회,일반차로,5227,127.073628,37.546622,POINT (127.073628 37.546622),99982,164-2도,1121510700101640002,65,1105053,화양동
39,44,104000046,1388213.184219797,중곡동입구,중곡4동,중곡동입구,일반차로,5139,127.088669,37.554197,POINT (127.088669 37.554197),82328,93-46대,1121510100100930046,70,1105058,중곡4동
40,88,104000110,1357565.244950798,뚝도변전소앞,자양3동,뚝도변전소앞,일반차로,5203,127.069025,37.536077,POINT (127.069025 37.536077),247566,510-6 도,1121510500105100006,78,1105066,자양3동
41,79,104000096,1324424.526431068,신자초등학교앞,자양2동,신자초등학교앞,일반차로,5189,127.075013,37.530369,POINT (127.075013 37.530369),96414,591학,1121510500105910000,77,1105065,자양2동
42,99,104000124,1315804.6561082762,건대입구역,자양4동,건대입구역6번출구,일반차로,5217,127.067279,37.540827,POINT (127.067279 37.540827),97155,8-24대,1121510500100080024,79,1105067,자양4동
43,77,104000094,1238818.4621194403,자양아파트앞,자양1동,자양아파트앞,일반차로,5187,127.084608,37.532192,POINT (127.084608 37.532192),106504,732 도,1121510500107320000,76,1105064,자양1동
44,112,104000137,1235307.2310312956,건대입구역,화양동,건대입구역1번출구,일반차로,5230,127.068167,37.540896,POINT (127.068167 37.540896),101940,48-10도,1121510700100480010,65,1105053,화양동
45,57,104000059,1223378.6470510408,구의2동주민센터입구,구의2동,구의2동주민센터입구,일반차로,5152,127.089586,37.548642,POINT (127.089586 37.548642),85391,71-26대,1121510300100710026,73,1105061,구의2동
46,58,104000060,1219900.420496208,구의사거리,구의2동,구의사거리,일반차로,5153,127.085747,37.545651,POINT (127.085747 37.545651),85980,131도,1121510300101310000,73,1105061,구의2동
47,108,104000133,1196939.5117344838,광진광장,화양동,광진광장,일반차로,5226,127.071152,37.547778,POINT (127.071152 37.547778),247412,116-24 대,1121510700101160024,65,1105053,화양동
48,46,104000048,1195908.643308018,능동사거리.군자역,능동,능동사거리.군자역,일반차로,5141,127.078635,37.555177,POINT (127.078635 37.555177),105245,282-1대,1121510200102820001,71,1105059,능동
49,136,104000165,1174022.0779438734,어린이대공원후문,구의2동,어린이대공원후문,일반차로,5258,127.090508,37.550867,POINT (127.090508 37.550867),84609,96도,1121510300100960000,73,1105061,구의2동
